comparison,step,feature,repeat,fold,train_groups,test_groups,accuracy,balanced_accuracy,roc_auc,tp,tn,fp,fn,paired_accuracy,paired_positive,paired_negative,paired_ties,paired_margin_mean,paired_margin_median,paired_sign_p
primary_step_20,20,xy_single,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,1,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,1,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,1,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,1,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,2,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,2,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,2,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,2,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,2,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,3,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,3,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,3,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,3,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,3,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,4,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,4,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,4,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_single,4,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_single,4,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,1,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,1,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,1,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,1,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,2,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,2,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,2,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,2,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,2,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,3,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,3,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,3,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,3,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,3,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,4,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,4,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,4,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,4,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,sim_velocity_only,4,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,1,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,1,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,1,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,1,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,2,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,2,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,2,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,2,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,2,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,3,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,3,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,3,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,3,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,3,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,4,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,4,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,4,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,4,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_sim_velocity,4,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,1,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,1,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,1,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,1,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,2,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,2,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,2,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,2,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,2,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,3,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,3,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,3,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,3,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,3,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,4,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,4,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,4,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,robot_only,4,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,robot_only,4,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,1,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,1,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,1,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,1,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,2,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,2,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,2,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,2,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,2,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,3,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,3,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,3,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,3,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,3,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,4,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,4,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,4,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,4,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_single,4,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,1,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,1,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,1,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,1,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,2,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,2,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,2,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,2,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,2,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,3,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,3,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,3,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,3,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,3,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,4,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,4,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,4,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,4,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,xy_history_s1,4,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,1,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,1,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,1,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,1,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,2,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,2,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,2,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,2,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,2,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,3,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,3,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,3,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,3,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,3,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,4,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,4,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,4,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,4,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,position_proprio_history_s1,4,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,1,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,1,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,1,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,1,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,2,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,2,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,2,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,2,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,2,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,3,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,3,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,3,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,3,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,3,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,4,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,4,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,4,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,4,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,causal_fd_history_s1,4,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,model_x_v2_s1,0,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,model_x_v2_s1,0,1,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,model_x_v2_s1,0,2,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
primary_step_20,20,model_x_v2_s1,0,3,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,model_x_v2_s1,0,4,103,25,0.5,0.5,0.5,25,0,25,0,0.5,0,0,25,0.0,0.0,1.0
primary_step_20,20,model_x_v2_s1,1,0,102,26,0.5,0.5,0.5,26,0,26,0,0.5,0,0,26,0.0,0.0,1.0
